Algorithm,Size,Start_R,Start_C,Success_Rate_%,Avg_Runtime_s,Best_Fitness,Max_Fitness,Runs
Brute Force Backtracking,5,0,0,100.0,0.013477325439453125,24,24,3
Randomized Heuristic Backtracking,5,0,0,100.0,0.002476771672566732,24,24,3
Warnsdorff Backtracking,5,0,0,100.0,0.0007009506225585938,24,24,3
Brute Force Backtracking,5,0,4,100.0,0.022925933202107746,24,24,3
Randomized Heuristic Backtracking,5,0,4,100.0,0.0,24,24,3
Warnsdorff Backtracking,5,0,4,100.0,0.0,24,24,3
Brute Force Backtracking,5,4,0,100.0,0.0,24,24,3
Randomized Heuristic Backtracking,5,4,0,100.0,0.00035039583841959637,24,24,3
Warnsdorff Backtracking,5,4,0,100.0,0.0,24,24,3
Brute Force Backtracking,5,4,4,100.0,0.0,24,24,3
Randomized Heuristic Backtracking,5,4,4,100.0,0.0,24,24,3
Warnsdorff Backtracking,5,4,4,100.0,0.0005010763804117838,24,24,3
Brute Force Backtracking,5,2,2,100.0,0.014763911565144857,24,24,3
Randomized Heuristic Backtracking,5,2,2,100.0,0.0019261837005615234,24,24,3
Warnsdorff Backtracking,5,2,2,100.0,0.0002532800038655599,24,24,3
Brute Force Backtracking,6,0,0,100.0,0.38501445452372235,35,35,3
Randomized Heuristic Backtracking,6,0,0,100.0,0.0,35,35,3
Warnsdorff Backtracking,6,0,0,100.0,0.0,35,35,3
Brute Force Backtracking,6,0,5,100.0,0.09133569399515788,35,35,3
Randomized Heuristic Backtracking,6,0,5,100.0,0.0,35,35,3
Warnsdorff Backtracking,6,0,5,100.0,0.0,35,35,3
Brute Force Backtracking,6,5,0,100.0,0.009839693705240885,35,35,3
Randomized Heuristic Backtracking,6,5,0,100.0,0.0,35,35,3
Warnsdorff Backtracking,6,5,0,100.0,0.0003407001495361328,35,35,3
Brute Force Backtracking,6,5,5,100.0,0.2796030839284261,35,35,3
Randomized Heuristic Backtracking,6,5,5,100.0,0.0,35,35,3
Warnsdorff Backtracking,6,5,5,100.0,0.0,35,35,3
Brute Force Backtracking,6,2,2,100.0,4.115340391794841,35,35,3
Randomized Heuristic Backtracking,6,2,2,100.0,0.0,35,35,3
Warnsdorff Backtracking,6,2,2,100.0,0.0,35,35,3
GA Classic,5,0,0,0.0,4.472918510437012,22,24,3
GA Optimized,5,0,0,100.0,0.027874469757080078,24,24,3
GA Elitism,5,0,0,100.0,0.021958430608113606,24,24,3
Cultural Algorithm,5,0,0,100.0,0.01988498369852702,24,24,3
GA Classic,5,0,4,0.0,4.371657689412435,18,24,3
GA Optimized,5,0,4,66.66666666666666,1.1963470776875813,24,24,3
GA Elitism,5,0,4,100.0,0.014549334843953451,24,24,3
Cultural Algorithm,5,0,4,100.0,0.012978712717692057,24,24,3
GA Classic,5,4,0,0.0,3.818891763687134,21,24,3
GA Optimized,5,4,0,100.0,0.04319413503011068,24,24,3
GA Elitism,5,4,0,100.0,0.03489915529886881,24,24,3
Cultural Algorithm,5,4,0,100.0,0.017261664072672527,24,24,3
GA Classic,5,4,4,0.0,3.7931012312571206,20,24,3
GA Optimized,5,4,4,100.0,0.4147796630859375,24,24,3
GA Elitism,5,4,4,100.0,0.014313062032063803,24,24,3
Cultural Algorithm,5,4,4,100.0,0.014575560887654623,24,24,3
GA Classic,5,2,2,0.0,4.004816293716431,19,24,3
GA Optimized,5,2,2,66.66666666666666,1.0711906750996907,24,24,3
GA Elitism,5,2,2,100.0,0.012827475865681967,24,24,3
Cultural Algorithm,5,2,2,100.0,0.013092676798502604,24,24,3
GA Classic,6,0,0,0.0,4.9838502407073975,27,35,3
GA Optimized,6,0,0,0.0,4.045525312423706,34,35,3
GA Elitism,6,0,0,100.0,0.020304203033447266,35,35,3
Cultural Algorithm,6,0,0,100.0,0.01776885986328125,35,35,3
GA Classic,6,0,5,0.0,5.223501046498616,27,35,3
GA Optimized,6,0,5,0.0,4.063681920369466,34,35,3
GA Elitism,6,0,5,100.0,0.021897554397583008,35,35,3
Cultural Algorithm,6,0,5,100.0,0.021460533142089844,35,35,3
GA Classic,6,5,0,0.0,5.034400939941406,27,35,3
GA Optimized,6,5,0,33.33333333333333,3.4180874029795327,35,35,3
GA Elitism,6,5,0,100.0,0.019275347391764324,35,35,3
Cultural Algorithm,6,5,0,100.0,0.018288215001424152,35,35,3
GA Classic,6,5,5,0.0,4.874218066533406,27,35,3
GA Optimized,6,5,5,0.0,4.110316117604573,34,35,3
GA Elitism,6,5,5,100.0,0.021166404088338215,35,35,3
Cultural Algorithm,6,5,5,100.0,0.01944136619567871,35,35,3
GA Classic,6,2,2,0.0,4.988119125366211,26,35,3
GA Optimized,6,2,2,0.0,4.0176191329956055,33,35,3
GA Elitism,6,2,2,100.0,0.021133025487263996,35,35,3
Cultural Algorithm,6,2,2,100.0,0.019787708918253582,35,35,3
GA Classic,7,0,0,0.0,6.495005051294963,32,48,3
GA Optimized,7,0,0,0.0,5.522047201792399,47,48,3
GA Elitism,7,0,0,100.0,0.031015872955322266,48,48,3
Cultural Algorithm,7,0,0,100.0,0.02711621920267741,48,48,3
GA Classic,7,0,6,0.0,6.61098066965739,37,48,3
GA Optimized,7,0,6,0.0,6.0288139184316,46,48,3
GA Elitism,7,0,6,100.0,0.05347593625386556,48,48,3
Cultural Algorithm,7,0,6,100.0,0.029473066329956055,48,48,3
GA Classic,7,6,0,0.0,6.8435648282368975,34,48,3
GA Optimized,7,6,0,0.0,5.925373713175456,46,48,3
GA Elitism,7,6,0,100.0,0.040961503982543945,48,48,3
Cultural Algorithm,7,6,0,100.0,0.02246991793314616,48,48,3
GA Classic,7,6,6,0.0,7.916531562805176,33,48,3
GA Optimized,7,6,6,0.0,6.53455130259196,47,48,3
GA Elitism,7,6,6,100.0,0.07938830057779948,48,48,3
Cultural Algorithm,7,6,6,100.0,0.024086872736612957,48,48,3
GA Classic,7,2,2,0.0,8.129625717798868,33,48,3
GA Optimized,7,2,2,0.0,5.388973792394002,46,48,3
GA Elitism,7,2,2,100.0,0.043489535649617515,48,48,3
Cultural Algorithm,7,2,2,100.0,0.026001771291097004,48,48,3
GA Classic,8,0,0,0.0,9.711791594823202,45,63,3
GA Optimized,8,0,0,0.0,7.164963086446126,60,63,3
GA Elitism,8,0,0,100.0,0.09761611620585124,63,63,3
Cultural Algorithm,8,0,0,100.0,0.03806861241658529,63,63,3
GA Classic,8,0,7,0.0,10.730788548787435,44,63,3
GA Optimized,8,0,7,0.0,8.41291610399882,61,63,3
GA Elitism,8,0,7,100.0,0.1355576515197754,63,63,3
Cultural Algorithm,8,0,7,100.0,0.03888368606567383,63,63,3
GA Classic,8,7,0,0.0,8.691696643829346,38,63,3
GA Optimized,8,7,0,0.0,6.535007476806641,61,63,3
GA Elitism,8,7,0,100.0,0.08932956059773763,63,63,3
Cultural Algorithm,8,7,0,100.0,0.03158831596374512,63,63,3
GA Classic,8,7,7,0.0,8.827986160914103,40,63,3
GA Optimized,8,7,7,0.0,6.923232555389404,60,63,3
GA Elitism,8,7,7,100.0,0.08914462725321452,63,63,3
Cultural Algorithm,8,7,7,100.0,0.030057112375895183,63,63,3
GA Classic,8,2,2,0.0,8.590518633524576,40,63,3
GA Optimized,8,2,2,0.0,6.494689544041951,60,63,3
GA Elitism,8,2,2,100.0,0.10948538780212402,63,63,3
Cultural Algorithm,8,2,2,100.0,0.03194944063822428,63,63,3
