Generation,Best_Fitness,Average_Fitness
0,3,0.16666666666666666
1,4,0.16666666666666666
2,7,1.54
3,9,2.38
4,10,3.02
5,10,3.68
6,12,4.113333333333333
7,13,4.62
8,13,5.2
9,13,5.826666666666667
10,13,5.526666666666666
11,14,6.18
12,14,6.513333333333334
13,14,6.1
14,15,6.933333333333334
15,15,7.113333333333333
16,16,6.453333333333333
17,16,6.626666666666667
18,16,6.506666666666667
19,16,6.746666666666667
20,16,6.72
21,16,6.493333333333333
22,16,6.42
23,16,6.06
24,16,6.733333333333333
25,16,6.553333333333334
26,16,6.08
27,18,6.8933333333333335
28,18,6.966666666666667
29,18,6.713333333333333
30,18,7.573333333333333
31,18,6.913333333333333
32,19,7.8133333333333335
33,19,6.82
34,19,8.253333333333334
35,19,7.48
36,19,7.933333333333334
37,19,8.273333333333333
38,19,8.173333333333334
39,19,8.54
40,19,7.786666666666667
41,19,8.12
42,19,7.56
43,19,8.653333333333334
44,19,8.966666666666667
45,19,8.8
46,19,8.033333333333333
47,19,8.18
48,19,8.646666666666667
49,19,9.286666666666667
50,19,7.533333333333333
51,19,8.766666666666667
52,19,8.106666666666667
53,19,8.26
54,19,8.34
55,19,8.26
56,19,8.133333333333333
57,19,8.16
58,19,8.06
59,19,8.22
60,19,8.193333333333333
61,19,8.88
62,19,8.673333333333334
63,19,8.613333333333333
64,19,8.74
65,19,8.48
66,19,8.78
67,19,8.066666666666666
68,19,9.293333333333333
69,19,7.933333333333334
70,19,8.513333333333334
71,19,8.333333333333334
72,19,8.466666666666667
73,19,8.566666666666666
74,19,7.76
75,19,8.146666666666667
76,19,7.946666666666666
77,19,8.56
78,19,8.226666666666667
79,19,8.833333333333334
80,19,8.586666666666666
81,19,8.72
82,19,8.446666666666667
83,19,8.5
84,19,7.913333333333333
85,19,7.993333333333333
86,19,8.186666666666667
87,19,8.453333333333333
88,19,8.74
89,19,8.046666666666667
90,19,8.966666666666667
91,19,8.766666666666667
92,19,8.633333333333333
93,19,9.486666666666666
94,19,8.466666666666667
95,19,9.0
96,19,8.9
97,19,8.526666666666667
98,19,8.946666666666667
99,19,8.76
100,19,8.66
101,19,8.633333333333333
102,20,8.393333333333333
103,20,7.5
104,20,8.966666666666667
105,20,8.366666666666667
106,20,8.806666666666667
107,20,8.72
108,20,8.546666666666667
109,20,8.44
110,20,8.013333333333334
111,20,8.6
112,20,9.36
113,20,9.56
114,20,8.06
115,20,9.18
116,20,8.6
117,20,8.513333333333334
118,20,8.733333333333333
119,20,8.246666666666666
120,20,8.386666666666667
121,20,8.973333333333333
122,20,8.446666666666667
123,20,8.926666666666666
124,20,8.426666666666666
125,20,7.96
126,20,8.693333333333333
127,21,8.48
128,21,8.433333333333334
129,21,7.74
130,21,7.746666666666667
131,21,7.62
132,21,8.866666666666667
133,21,8.913333333333334
134,21,8.653333333333334
135,21,8.086666666666666
136,21,8.206666666666667
137,21,8.406666666666666
138,21,8.433333333333334
139,21,8.793333333333333
140,21,9.006666666666666
141,21,8.853333333333333
142,21,9.52
143,21,8.76
144,21,8.913333333333334
145,21,8.093333333333334
146,21,8.033333333333333
147,21,8.766666666666667
148,21,8.513333333333334
149,21,8.92
150,21,9.766666666666667
151,21,9.713333333333333
152,21,8.566666666666666
153,21,8.193333333333333
154,21,8.36
155,21,8.093333333333334
156,21,9.02
